Instituição;NomeAjustado
ITAU;ITAÚ
BB;BANCO DO BRASIL
CAIXA ECONÔMICA FEDERAL;CAIXA
BRADESCO;BRADESCO
SANTANDER;SANTANDER
BNDES;BNDES
BTG PACTUAL;BTG PACTUAL
SAFRA;SAFRA
BCO COOPERATIVO SICREDI;SICREDI
CITIBANK;CITIBANK
XP INVESTIMENTOS CCTVM S/A;XP INVESTIMENTOS
VOTORANTIM;VOTORANTIM
NU PAGAMENTOS;NUBANK
JP MORGAN CHASE;JP MORGAN CHASE
BANRISUL;BANRISUL
BANCOOB;BANCOOB
CIELO IP;CIELO
BCO DAYCOVAL S.A;DAYCOVAL
BNP PARIBAS;BNP PARIBAS
BCO DO NORDESTE DO BRASIL S.A.;BANCO DO NORDESTE
BANCO C6;BANCO C6
VOLKSWAGEN;VOLKSWAGEN
BRB;BANCO DE BRASÍLIA
BCO RABOBANK INTL BRASIL S.A.;RABOBANK
BMG;BMG
INTER;INTER
ABC-BRASIL;ABC BRASIL
BCO DA AMAZONIA S.A.;BANCO DA AMAZÔNIA
BANCO ORIGINAL;ORIGINAL
BANESTES;BANESTES
BCO CLASSICO S.A.;BANCO CLÁSSICO
PAGSEGURO;PAGBANK
APE POUPEX;POUPEX
COOPERATIVA DE CREDITO VALE DO ITAJAI - VIACREDI;VIACREDI AILOS
DAYCOVAL;DAYCOVAL
BANCO SICOOB;SICOOB
BANCO VOLKSWAGEN S.A.;VOLKSWAGEN
BANCO CNH INDUSTRIAL CAPITAL S.A.;CNH INDUSTRIAL CAPITAL
NU PAGAMENTOS S.A. - INSTITUIÇÃO DE PAGAMENTO;NUBANK
C6 BANK;BANCO C6
BANCO NACIONAL DE DESENVOLVIMENTO ECONOMICO E SOCIAL;BNDES
BANCO REGIONAL DE DESENVOLVIMENTO DO EXTREMO SUL;BRDE
BANCO COOPERATIVO SICREDI S.A.;SICREDI
BANCO DO ESTADO DO PARÁ S.A.;BANPARÁ
MERCANTIL DO BRASIL;MERCANTIL DO BRASIL
PARANÁ BANCO;PARANÁ BANCO
AGIBANK;AGIBANK
ALFA;ALFA
BCO DO EST. DO PA S.A.;BANPARÁ
COOPERATIVA DE CREDITO CREDICITRUS;SICOOB CREDICITRUS
COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO DEXIS - SICREDI DEXIS;SICREDI DEXIS
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO CENTRO BRASILEIRA LTDA.;SICOOB UNICENTRO BR
COOPERATIVA DE CRÉDITO MAXI ALFA DE LIVRE ADMISSÃO DE ASSOCIADOS - SICOOB MAXICRÉDITO;SICOOB MAXICRÉDITO
COOPERATIVA DE CRÉDITO SICOOB METROPOLITANO;SICOOB METROPOLITANO
COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO VALE DO PIQUIRI ABCD - SICREDI VALE DO PIQUIRI ABCD PR/SP;SICREDI VALE DO PIQUIRI
XP;XP INVESTIMENTOS
ORIGINAL;ORIGINAL
BANCO MASTER;MASTER
BANCO DA AMAZONIA S.A.;BANCO DA AMAZÔNIA
BANCO DE LAGE LANDEN BRASIL S.A.;LAGE LANDEN
BANCO JOHN DEERE S.A.;JOHN DEERE
BANCO RABOBANK INTERNATIONAL BRASIL S.A.;RABOBANK
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DO SUDOESTE GOIANO;SICOOB CREDI-RURAL
CREDICOAMO CREDITO RURAL COOPERATIVA;CREDICOAMO
SICOOB COCRED COOPERATIVA DE CRÉDITO;SICOOB COCRED
COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO VANGUARDA - SICREDI VANGUARDA PR/SP/RJ;SICREDI VANGUARDA
BANCO BNP PARIBAS BRASIL S.A.;BNP PARIBAS
FACTA FINANCEIRA S.A. - CRÉDITO FINANCIAMENTO E INVESTIMENTO;FACTA
STONE IP;STONE
